year,state,month,number
2020,Mato Grosso do Sul,Abril,813.0
2018,Sergipe,Fevereiro,18.0
2012,Ceará,Maio,23.0
2017,Espirito Santo,Março,9.0
2017,Paraiba,Março,4.0
2021,Mato Grosso,Junho,2.185
2015,Acre,Fevereiro,2.0
2015,Sergipe,Janeiro,37.0
2020,Minas Gerais,Março,82.0
2019,São Paulo,Junho,290.0
2019,Acre,Abril,6.0
2018,Amapa,Dezembro,0.0
2019,Rio de Janeiro,Julho,141.0
2015,Mato Grosso do Sul,Outubro,451.0
2018,São Paulo,Março,124.0
2017,Pará,Setembro,15.735
2021,Rio de Janeiro,Fevereiro,4.0
2019,Paraná,Maio,47.0
2021,Acre,Março,3.0
2017,Amazonas,Dezembro,247.0
2018,Alagoas,Fevereiro,16.0
2016,Amapa,Abril,0.0
2012,Minas Gerais,Maio,178.0
2018,Amazonas,Fevereiro,93.0
2021,Paraná,Dezembro,105.0
2016,Goias,Junho,261.0
2013,Bahia,Setembro,2.617
2014,Mato Grosso,Dezembro,347.0
2017,Santa Catarina,Agosto,558.0
2023,Santa Catarina,Agosto,473.0
2023,Sergipe,Dezembro,32.0
2012,Paraiba,Junho,5.0
2023,Espirito Santo,Maio,12.0
2014,Rio Grande do Sul,Janeiro,38.0
2022,Rondonia,Agosto,3.512
2021,Acre,Maio,30.0
2014,Rio Grande do Sul,Dezembro,31.0
2018,Piaui,Maio,118.0
2020,Amapa,Outubro,527.0
2018,Minas Gerais,Agosto,553.0
2012,Alagoas,Julho,1.0
2023,Pará,Agosto,6725.0
2020,Alagoas,Outubro,25.0
2022,Alagoas,Setembro,12.0
2021,Rondonia,Julho,836.0
2023,Rondonia,Março,38.0
2013,Mato Grosso,Abril,411.0
2023,Maranhão,Novembro,2893.0
2023,Amapa,Abril,1.0
2015,São Paulo,Fevereiro,37.0
2014,Rio de Janeiro,Abril,9.0
2016,Pernambuco,Setembro,137.0
2017,Rio Grande do Sul,Fevereiro,31.0
2020,Paraiba,Agosto,50.0
2021,Tocantins,Janeiro,76.0
2017,Roraima,Junho,4.0
2018,Maranhão,Abril,50.0
2019,Rondonia,Setembro,3.644
2013,Mato Grosso do Sul,Dezembro,162.0
2013,Mato Grosso,Agosto,3.739
2016,Goias,Janeiro,27.0
2021,Ceará,Dezembro,782.0
2022,Espirito Santo,Outubro,93.0
2021,Pará,Setembro,3.828
2022,Minas Gerais,Julho,990.0
2023,Amazonas,Outubro,3858.0
2016,Sergipe,Dezembro,36.0
2016,Goias,Outubro,488.0
2016,Rio de Janeiro,Julho,127.0
2020,São Paulo,Julho,558.0
2015,Pernambuco,Março,27.0
2023,Rio Grande do Sul,Abril,137.0
2022,Espirito Santo,Janeiro,11.0
2019,Rio Grande do Norte,Setembro,81.0
2019,Pará,Outubro,3870.0
2020,Paraiba,Fevereiro,16.0
2023,Rondonia,Julho,460.0
2023,Tocantins,Dezembro,283.0
2023,Tocantins,Novembro,478.0
2016,Mato Grosso,Março,934.0
2015,Sergipe,Maio,9.0
2022,Rondonia,Julho,555.0
2014,Alagoas,Setembro,11.0
2021,São Paulo,Maio,140.0
2014,Rio Grande do Sul,Agosto,1200.0
2016,Tocantins,Fevereiro,318.0
2022,Sergipe,Maio,14.0
2018,Paraná,Junho,158.0
2018,Amazonas,Outubro,1.725
2014,Mato Grosso do Sul,Setembro,343.0
2023,Maranhão,Março,106.0
2016,Alagoas,Janeiro,22.0
2013,Bahia,Janeiro,161.0
2018,Mato Grosso,Abril,426.0
2017,Espirito Santo,Setembro,31.0
2017,Distrito Federal,Janeiro,1.0
2020,Amapa,Abril,0.0
2015,Rio Grande do Sul,Janeiro,29.0
2018,Ceará,Maio,2.0
2019,Mato Grosso do Sul,Março,159.0
2021,Mato Grosso do Sul,Abril,193.0
2021,Santa Catarina,Abril,199.0
2016,Acre,Novembro,46.0
2020,Rondonia,Novembro,509.0
2019,Rio Grande do Sul,Junho,134.0
2021,Paraná,Janeiro,16.0
2022,Maranhão,Agosto,3.473
2022,Rondonia,Maio,136.0
2015,Espirito Santo,Agosto,28.0
2012,Paraná,Setembro,544.0
2019,Acre,Fevereiro,1.0
2012,Pernambuco,Janeiro,161.0
2020,Rio Grande do Norte,Junho,1.0
2014,Alagoas,Maio,1.0
2020,Distrito Federal,Janeiro,2.0
2017,Roraima,Abril,75.0
2018,Ceará,Março,8.0
2021,Acre,Dezembro,1.0
2022,Acre,Abril,6.0
2018,São Paulo,Outubro,27.0
2022,Tocantins,Março,49.0
2022,Pernambuco,Junho,5.0
2023,Rondonia,Fevereiro,28.0
2014,Tocantins,Fevereiro,55.0
2013,Sergipe,Março,59.0
2023,Mato Grosso do Sul,Outubro,495.0
2014,Minas Gerais,Novembro,349.0
2021,Paraná,Julho,598.0
2017,São Paulo,Abril,37.0
2014,Distrito Federal,Abril,2.0
2020,Rio Grande do Norte,Janeiro,37.0
2014,Bahia,Maio,201.0
2012,Rio Grande do Norte,Julho,4.0
2012,Rondonia,Maio,35.0
2018,Pernambuco,Maio,2.0
2023,Acre,Setembro,3075.0
2019,Minas Gerais,Outubro,2.049
2013,Paraiba,Fevereiro,11.0
2021,Ceará,Janeiro,187.0
2012,Goias,Junho,254.0
2015,Acre,Julho,118.0
2014,Goias,Setembro,1.568
2018,Espirito Santo,Agosto,9.0
2022,Amazonas,Maio,81.0
2021,Roraima,Abril,110.0
2015,Paraná,Setembro,604.0
2022,Mato Grosso,Julho,1.919
2012,Paraná,Abril,63.0
2023,São Paulo,Junho,134.0
2013,Goias,Setembro,735.0
2012,Paraná,Julho,203.0
2022,Mato Grosso do Sul,Dezembro,182.0
2012,Maranhão,Janeiro,461.0
2019,Tocantins,Novembro,376.0
2017,Acre,Outubro,1350.0
2019,Santa Catarina,Junho,104.0
2013,Goias,Março,74.0
2015,Rio de Janeiro,Outubro,78.0
2012,Amazonas,Janeiro,8.0
2012,Amapa,Outubro,583.0
2023,Ceará,Junho,15.0
2013,Pernambuco,Julho,7.0
2023,Amapa,Dezembro,65.0
2020,Rondonia,Junho,138.0
2016,Mato Grosso,Abril,1.351
2015,Paraná,Outubro,142.0
2016,Pará,Outubro,5.954
2018,Minas Gerais,Outubro,840.0
2018,Santa Catarina,Junho,52.0
2018,Distrito Federal,Fevereiro,0.0
2018,Sergipe,Setembro,2.0
2019,Sergipe,Dezembro,16.0
2022,Roraima,Maio,11.0
2023,Tocantins,Maio,697.0
2013,Santa Catarina,Junho,81.0
2017,Amazonas,Novembro,486.0
2015,Sergipe,Novembro,41.0
2016,Rondonia,Novembro,413.0
2018,Rio Grande do Sul,Outubro,69.0
2021,Roraima,Setembro,54.0
2017,Rondonia,Junho,152.0
2015,Bahia,Setembro,6.921
2020,São Paulo,Outubro,995.0
2015,Goias,Setembro,2.033
2018,Pernambuco,Setembro,95.0
2023,Goias,Outubro,369.0
2022,Goias,Novembro,119.0
2021,Rio Grande do Sul,Março,91.0
2023,Rio de Janeiro,Novembro,23.0
2023,Tocantins,Agosto,1141.0
